Voltage,Time_ms 
000,3318260535
000,3318261123
006,3318261712
053,3318262351
108,3318262937
146,3318263523
172,3318264108
187,3318264692
199,3318265283
208,3318265869
213,3318266462
216,3318267047
215,3318267633
195,3318268216
147,3318268799
101,3318269380
056,3318269970
013,3318270556
000,3318271145
000,3318271747
000,3318272321
000,3318272896
000,3318273462
000,3318274032
000,3318274600
000,3318275173
000,3318275750
000,3318276318
000,3318276888
000,3318277458
000,3318278031
000,3318278606
000,3318279176
000,3318279749
000,3318280323
000,3318280894
018,3318281548
064,3318282161
123,3318282751
155,3318283340
177,3318283924
191,3318284507
202,3318285118
210,3318285699
214,3318286282
215,3318286869
214,3318287453
183,3318288040
132,3318288622
085,3318289210
044,3318289803
001,3318290407
000,3318290991
000,3318291631
000,3318292255
000,3318292843
000,3318293430
000,3318294020
000,3318294609
000,3318295204
000,3318295792
000,3318296377
000,3318296964
000,3318297555
000,3318298146
000,3318298737
000,3318299330
000,3318299915
000,3318300500
014,3318301123
064,3318301711
116,3318302293
151,3318302880
174,3318303462
188,3318304047
200,3318304629
209,3318305222
213,3318305818
216,3318306409
215,3318306993
189,3318307577
141,3318308165
095,3318308756
051,3318309349
007,3318309939
000,3318310529
000,3318311168
000,3318311759
000,3318312347
000,3318312934
000,3318313518
000,3318314108
000,3318314692
000,3318315282
000,3318315869
000,3318316456
000,3318317038
000,3318317622
000,3318318206
000,3318318793
000,3318319382
000,3318319970
002,3318320571
048,3318321158
100,3318321748
140,3318322332
168,3318322919
185,3318323503
195,3318324090
207,3318324681
212,3318325267
214,3318325857
216,3318326442
203,3318327030
156,3318327617
110,3318328203
063,3318328793
021,3318329384
000,3318329971
000,3318330575
000,3318331167
000,3318331761
000,3318332352
000,3318332937
000,3318333546
000,3318334131
000,3318334712
000,3318335300
000,3318335891
000,3318336477
000,3318337067
000,3318337649
000,3318338240
000,3318338832
000,3318339419
000,3318340023
034,3318340611
082,3318341197
129,3318341784
160,3318342367
180,3318342950
192,3318343537
204,3318344124
211,3318344712
214,3318345295
216,3318345883
213,3318346463
176,3318347053
125,3318347639
078,3318348231
037,3318348825
000,3318349410
000,3318350036
000,3318350620
000,3318351206
000,3318351830
000,3318352421
000,3318353011
000,3318353606
000,3318354197
000,3318354787
000,3318355378
000,3318355965
000,3318356566
000,3318357156
000,3318357749
000,3318358335
000,3318358923
000,3318359521
022,3318360099
070,3318360668
118,3318361238
151,3318361805
175,3318362375
188,3318362943
200,3318363517
209,3318364089
213,3318364657
215,3318365228
216,3318365794
196,3318366372
151,3318366938
106,3318367504
061,3318368080
020,3318368652
000,3318369347
000,3318369933
000,3318370507
000,3318371074
000,3318371649
